time,keys,target_x,target_y,target_z,target_rx,target_ry,target_rz,feedback_p1,feedback_p2,feedback_p3,feedback_p4,feedback_p5,target_p1,target_p2,target_p3,target_p4,target_p5,pulse_err1,pulse_err2,pulse_err3,pulse_err4,pulse_err5
1789282536.3189478,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.333558,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.3513029,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.3830194,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.397522,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.4135628,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.4332082,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.4667737,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.4824665,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.4978344,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.5164626,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.5332065,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.5649955,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.5836847,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.5994427,w,0.0002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.6174877,w,0.0004,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.6377196,w,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.666259,w,0.0008,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.6820219,w,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.6978197,w,0.0012000000000000001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1789282536.7131302,w,0.0014000000000000002,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
